date,EUR,GBP,JPY
1999-09-06,0.2788,-0.0607,1.1249
1999-09-07,-0.3402,-0.5592,0.0812
1999-09-08,0.0802,-0.6408,-1.8835
1999-09-09,0.6915,-0.2827,0.2614
1999-09-10,1.4602,0.6436,-0.2798
1999-09-11,0.0723,-0.0834,0.0505
1999-09-12,-0.0289,0.374,-1.9705
1999-09-13,-0.0144,0.5593,-0.4741
1999-09-14,0.0916,-0.0686,-1.8088
1999-09-15,-0.4191,-0.7506,0.4779
1999-09-16,0.0529,-0.1203,1.6878
1999-09-17,-0.2882,-0.2065,0.4864
1999-09-18,0.0864,0.0646,0.484
1999-09-19,-0.0096,0.0031,-0.0139
1999-09-20,-0.0384,-0.3476,-2.7778
1999-09-21,-0.8363,-0.3801,-0.4162
1999-09-22,0.5967,0.0611,-0.216
1999-09-23,-0.2964,-0.6134,0.3788
1999-09-24,0.4306,0.003,-0.5279
1999-09-25,-0.0431,0.157,1.3572
1999-09-26,-0.1103,-0.2908,-0.1425
1999-09-27,-0.3344,-0.179,0.965
1999-09-28,-0.6752,0.1821,0.5891
1999-09-29,-0.9526,-0.0517,-0.8389
1999-09-30,-0.6688,-0.2821,-0.4162
1999-10-01,0.0677,0.0,0.0
1999-10-02,0.0,-0.2329,-0.4227
1999-10-03,-0.0071,-0.0876,0.8294
1999-10-04,0.2429,0.1661,0.6117
1999-10-05,-0.3361,-0.1239,0.8037
1999-10-06,0.1399,0.1269,0.2138
1999-10-07,0.4303,0.1211,-0.1301
1999-10-08,0.3286,-0.1076,-0.1442
1999-10-09,0.0752,0.1166,0.0652
1999-10-10,-0.0752,-0.112,-0.6349
1999-10-11,-0.3193,-0.0483,-0.4083
1999-10-12,-0.9795,-0.0635,0.4762
1999-10-13,-0.0928,-0.0815,0.166
1999-10-14,-0.7716,-0.632,-1.1608
1999-10-15,-0.2069,-0.03,-0.3812
1999-10-16,-0.0917,-0.0974,-0.0214
1999-10-17,0.2803,-0.0254,-0.2043
1999-10-18,0.4288,-0.0778,0.3418
1999-10-19,0.3564,0.1586,0.6801
1999-10-20,0.0139,0.0,-0.1272
1999-10-21,0.0093,-0.3052,-0.4582
1999-10-22,0.1253,1.4024,0.2648
1999-10-23,0.6383,-0.3146,-0.0614
1999-10-24,0.1777,-0.3408,-0.2413
1999-10-25,0.4035,0.1626,-0.7369
1999-10-26,0.5753,0.3505,-0.5886
1999-10-27,0.5594,0.6649,0.1007
1999-10-28,0.0285,0.1158,0.5594
1999-10-29,-0.909,1.1536,-0.9342
1999-10-30,0.5009,0.5756,0.2212
1999-10-31,0.071,-2.1705,0.0624
1999-11-01,0.2944,0.0092,0.3545
1999-11-02,0.1617,-0.082,-0.465
1999-11-03,0.1477,0.2888,0.6561
1999-11-04,0.8813,1.1879,0.5901
1999-11-05,0.0,0.0,0.0
1999-11-06,-0.5135,0.0724,0.8317
1999-11-07,0.3741,0.1125,-0.1931
1999-11-08,0.024,-0.0987,-0.8571
1999-11-09,-0.0385,-0.0524,-0.3096
1999-11-10,-0.0576,-0.0216,0.1763
1999-11-11,0.5005,0.3703,-0.0953
1999-11-12,0.4352,0.1177,0.485
1999-11-13,-0.0799,0.0494,-0.1329
1999-11-14,0.1138,-0.1639,-0.3712
1999-11-15,-0.2227,-0.2995,0.7504
1999-11-16,-0.6797,-0.1602,-0.1563
1999-11-17,0.0769,0.1356,0.2225
1999-11-18,0.8886,0.324,0.3163
1999-11-19,0.1455,-0.0895,0.3106
1999-11-20,-0.1068,-0.034,-0.047
1999-11-21,-0.1164,-0.0804,-0.6178
1999-11-22,0.0048,-0.2096,-1.204
1999-11-23,0.7982,0.5342,0.0861
1999-11-24,0.3819,0.1733,-0.1436
1999-11-25,0.5311,0.087,-0.408
1999-11-26,-0.3201,0.3948,-2.0654
1999-11-27,0.1773,-0.0653,0.6851
1999-11-28,0.4145,0.1557,-0.2246
1999-11-29,0.2474,0.278,-0.2349
1999-11-30,-0.0793,-0.0406,0.2496
1999-12-01,0.3424,0.0313,0.2197
1999-12-02,0.4433,-0.1094,-0.0927
1999-12-03,-0.0849,-0.0093,0.3508
1999-12-04,-0.0249,-0.0407,-0.1217
1999-12-05,-1.2291,-0.5324,-0.2682
1999-12-06,-0.741,-0.8472,0.3558
1999-12-07,-0.2246,-0.1539,0.017
1999-12-08,0.3371,0.1045,0.1434
1999-12-09,0.6335,0.0955,-0.526
1999-12-10,0.1429,0.0586,-0.0879
1999-12-11,0.0197,0.0294,0.0977
1999-12-12,0.0741,-0.0972,0.2438
1999-12-13,0.639,0.4755,0.6554
1999-12-14,0.2487,0.5586,0.2127
1999-12-15,-1.08,-0.4502,-0.5569
1999-12-16,-0.7071,0.1147,0.0971
1999-12-17,1.3894,0.4383,0.1648
1999-12-18,-0.0596,-0.0684,-0.0969
1999-12-19,-0.0049,-0.0405,-0.2475
1999-12-20,-0.1338,-0.1866,-0.6974
1999-12-21,0.1487,-0.056,-0.4709
1999-12-22,-0.1239,0.028,-0.0689
1999-12-23,-0.3955,-0.4632,1.1253
1999-12-24,-0.0394,-0.0262,0.141
1999-12-25,0.0888,0.1578,-0.0486
1999-12-26,-0.005,0.0155,-0.3457
1999-12-27,0.0,0.0,0.0
1999-12-28,0.6109,0.0315,-0.1557
1999-12-29,0.2437,-0.1411,-0.1677
1999-12-30,0.0,0.0,0.0
1999-12-31,-0.3052,-0.0668,0.0792
2000-01-01,0.1838,0.0649,-0.0734
2000-01-02,0.0149,0.0,-0.0343
2000-01-03,-1.9997,-1.2281,-0.5054
2000-01-04,-0.4863,0.0812,1.607
2000-01-05,-0.1323,-0.3713,0.9717
2000-01-06,0.0383,-0.295,0.9077
2000-01-07,0.2431,0.5062,0.0826
2000-01-08,-0.0461,-0.0718,-0.0978
2000-01-09,0.0485,-0.0305,-0.117
2000-01-10,0.3699,0.2072,0.0675
2000-01-11,-0.7684,-0.7077,0.8266
2000-01-12,0.253,0.03,-0.1113
2000-01-13,0.4969,0.0738,0.1641
2000-01-14,1.1039,0.7179,-0.3224
2000-01-15,0.0374,-0.0464,0.2545
2000-01-16,-0.0172,0.0098,-0.1548
2000-01-17,0.2661,0.1771,-0.9624
2000-01-18,-0.1743,-0.3049,0.8093
2000-01-19,0.0819,-0.4102,-0.3269
2000-01-20,-0.4916,-0.6239,-0.0655
2000-01-21,0.8148,0.3119,-0.4665
2000-01-22,0.0,0.0,0.0
2000-01-23,0.0,0.0,0.4247
2000-01-24,0.2549,-0.1334,0.4021
2000-01-25,0.52,0.3938,0.3175
2000-01-26,-0.047,0.3637,-0.3004
2000-01-27,1.3649,-0.0002,-0.5122
2000-01-28,1.1662,1.2054,1.8651
2000-01-29,-0.0318,0.0,-0.0584
2000-01-30,-0.0137,0.0032,0.0084
2000-01-31,0.707,0.2381,0.3133
2000-02-01,-0.1719,0.0029,0.3522
2000-02-02,-0.4281,0.4571,0.4392
2000-02-03,-1.4499,0.6488,-0.578
2000-02-04,0.7966,0.3904,-0.4362
2000-02-05,-0.1485,-0.0025,0.1809
2000-02-06,-0.003,0.0315,-0.1258
2000-02-07,0.386,-0.3877,1.3436
2000-02-08,-0.6269,-0.941,0.7512
2000-02-09,-0.6855,-0.2853,0.0
2000-02-10,0.8678,0.5056,-0.2515
2000-02-11,-0.3541,0.898,-0.383
2000-02-12,0.0,0.0,0.0896
2000-02-13,0.1747,0.0502,0.0041
2000-02-14,0.6778,0.3963,-0.0239
2000-02-15,-0.1795,-0.5676,0.1734
2000-02-16,-0.487,-0.729,0.2829
2000-02-17,-0.1678,-0.0183,1.1625
2000-02-18,0.2654,0.3897,0.3158
2000-02-19,-0.0715,0.0,0.0356
2000-02-20,0.1138,-0.0312,-0.1252
2000-02-21,-0.2554,0.1593,0.3928
2000-02-22,-1.5905,-0.7969,-0.437
2000-02-23,0.0165,0.5627,0.3494
2000-02-24,1.0086,0.206,-0.0198
2000-02-25,1.8751,0.3505,-0.8995
2000-02-26,0.0,0.0,0.0571
2000-02-27,0.0019,0.0246,0.0308
2000-02-28,0.2604,-0.0466,-0.7816
2000-02-29,0.7312,1.0404,0.6646
2000-03-01,-0.8241,-0.495,-2.8263
2000-03-02,0.8603,0.6372,0.7199
2000-03-03,0.533,-0.038,-0.1716
2000-03-04,-0.1003,0.0,0.192
2000-03-05,0.2183,-0.0363,-0.051
2000-03-06,-0.0652,0.24,-0.3785
2000-03-07,-0.0321,-0.3732,-1.2275
2000-03-08,-0.1887,-0.0985,0.0
2000-03-09,-0.546,-0.0095,0.476
2000-03-10,0.2558,0.3616,-0.4011
2000-03-11,0.0,-0.1953,0.0884
