date_serial,ABT,BP,CL,EK,FDX,KO,WMT,PEP,PG,WYE
2450619,2.272825108,-0.529175445,0.757698968,1.412203522,0.866247455,0.181983672,0,0,1.953811574,1.286191364
2450620,0.194946451,-1.23840592,-1.534233337,-1.259938552,1.694955831,-0.181983672,1.854120101,-0.340448149,-1.501550982,1.579811688
2450623,-1.72694748,-0.184567384,-1.538985168,-1.923136193,-1.479241459,-2.127739845,-2.631332823,-1.682956778,-1.895997168,-1.600034135
2450624,2.985296315,-0.16946763,1.930346291,0.323102058,0.626430559,0.799661551,2.810277099,-0.187441479,-0.362634572,-0.708057074
2450625,-1.112193566,1.150405504,-0.68498874,0,-2.349417846,-1.245096586,-2.626566086,0,-1.044987404,-0.406195024
2450626,-1.790463839,0.175830166,0.780942689,0.476283323,1.727755487,0.617330221,0.364299128,0.998254614,0.455247133,-1.03389778
2450627,2.616971773,0.429357965,0.377418281,0.80578552,-1.824805326,1.504214541,-1.698554637,1.677132349,1.351420748,-0.166934228
2450630,-1.29495,-0.506262739,-1.136555249,-2.254523832,0.415585014,-4.317217187,2.031740041,-1.479942445,1.203675371,-0.975617495
2450631,-0.847334469,0.667826711,0.478393513,0.480926383,0.530777721,0.907633225,0,1.820390593,-1.153530307,-0.170079193
2450632,0.754720564,1.160809763,0.283197169,0.967811929,0.118956595,2.61772462,1.459879942,-0.157770214,0.091830614,2.822534171
2450633,2.214112588,0.075443233,0.652176225,1.364730065,0.321843252,0.183914602,1.793642391,1.292341584,1.047129987,1.407765833
2450637,-2.124600423,0.151305035,-1.59428197,0.467615386,0.617337407,-1.251616396,-1.410858617,0,-1.03534884,-4.134134016
2450638,0.935071748,0.539829319,2.258838933,1.489296033,0.517487174,0.982703913,-0.1712818,0.332268676,3.452963148,-1.05325725
2450639,-2.129482597,-0.798129276,-2.775613281,-1.250016276,-2.857095699,-1.70089143,-4.164235374,-1.448550936,-1.865985945,-0.821547295
2450640,-1.503787736,1.356081867,1.410329459,-1.904819497,-1.294572321,0.359738499,3.070035488,1.11414548,-0.912944068,1.874078795
2450641,-2.020270732,0.075263426,0.0922935,-0.321027563,-0.653035488,0.27253836,0.878565946,-3.107966771,-0.28840692,0.888551336
2450644,0.202539603,0.313972,2.099575071,-0.72286361,-2.50209886,-0.085984528,0.364912686,1.168361671,-0.551373102,1.827925991
2450645,1.741608319,0.550207715,4.372439384,-0.41542316,2.079949141,0.529063935,0.167973164,-1.492167308,2.529091687,1.550418654
2450646,1.07235467,0.541739813,-1.965144175,-1.639262065,2.702867239,1.063915277,0.335664651,-1.869719824,1.060983166,-3.32766185
2450647,-2.362314576,1.318483766,-1.384903842,-2.607224031,-1.242252,-1.421084026,-0.701757266,-1.197619105,-0.287056565,-0.781746511
2450648,-1.105691899,0.305343749,0.522952964,0,0.200200267,-0.805412091,-0.711746777,0.696866932,-3.390603346,-0.240035489
2450651,-0.193735934,-0.381093337,0.522042949,1.869213301,-1.680711832,-0.816450081,2.46366701,1.045945931,0.335008689,-0.396343931
2450652,1.403755703,1.445164504,2.063102271,1.466516971,0.836824967,1.885897684,1.057327602,1.482292889,1.412349837,0.772012302
2450653,0.971642184,-0.228489066,-1.403962269,0.087310832,-1.156663637,-1.523236809,0.852942301,-2.824594922,-0.903798149,-0.146234489
2450654,-0.502198168,-0.521814181,0.658914507,-0.920588075,2.276412995,1.623015878,0.514836525,0.668898815,0.817666044,3.135728434
2450655,-0.579802611,0.073538427,0.160707146,-1.568311476,-1.4353533,-0.099779069,3.149658264,2.796278207,-0.12385517,-2.228006618
2450658,-1.368699098,-0.934644476,-2.465581412,0.902172798,-1.857125169,-0.61512246,0.807190947,0.338762539,-1.515727322,-1.212136053
2450659,0.877198607,0.310308696,-0.824293718,-0.620294412,1.541168958,0,-2.459569302,-1.158822554,0.086485053,0.375917498
2450660,0.973958383,1.98026273,1.328149872,1.015237146,4.234032819,0.257953711,-0.158269619,1.957520421,1.030564768,-0.386567285
2450661,0.766992562,-0.375325823,-0.340066981,-1.760530714,1.750044664,-1.079224807,-0.50538743,-1.143760844,-1.221718394,0
2450662,-2.412736895,-0.309119257,-1.837934057,1.481508579,-2.355266667,-0.726008707,-2.183669461,0.659024397,-0.408728897,-1.76626694
2450665,-0.394477829,1.857638557,1.08742184,0.279022136,0.298765848,0.465252366,3.028504266,1.151242438,-1.370796019,1.00118258
2450666,0.695985094,-0.595239853,-1.521631927,-0.36729638,-0.568139724,-1.184137804,-0.662166371,1.453438511,-0.800838763,2.057159758
2450667,0,1.028527066,0.771338233,0,0.946571953,0.176315062,2.479683897,3.695570652,2.553330201,-1.531423497
2450668,0.392927814,-0.208020415,-2.998810285,-1.214290057,-2.01840301,-2.052116622,-1.305160787,-1.577239514,-1.938398584,-0.68948808
2450669,0.690523773,-0.434655604,-2.302973082,-0.568778663,-1.876878689,-4.765772577,-1.844725484,-1.639814581,-1.503787736,-1.645869178
2450672,0.187324438,1.363710028,-1.59862611,-0.577421449,1.783084717,-1.510796978,-0.512199529,1.823276826,1.762160135,-1.123750812
2450673,-0.281118411,-0.287373035,-0.923339641,-1.149526031,0.200974018,-1.320420195,-3.257438683,-1.799942718,-2.46857633,-3.475577521
2450674,-2.173313886,-0.870832789,0.446097394,0.200200267,0.383877631,-0.823863615,1.198271418,-2.343541597,-1.921456494,-1.810183536
2450675,0.693899646,-0.367016336,0.279761649,-2.919117752,0,-0.630707485,-3.431103685,-1.015515795,1.612206466,2.298951822
2450676,-4.04062723,-3.077165867,-6.491412285,0.189903523,-0.290497873,-2.005290886,0.1712818,-0.863394864,-3.906297912,-3.260577455
2450679,1.305733067,0.148038517,-0.56031275,0.787405643,1.338423022,2.736677125,1.410858617,1.587555971,-1.920316998,0.579868121
2450680,-1.304471352,2.030953662,2.054656763,-0.188412679,1.594738175,0.709632485,0.195285318,0,1.728563629,2.479082351
2450681,0,2.79000631,-0.289039526,6.081874004,3.216372412,1.128292568,3.418902658,0.529175445,1.608613775,-1.99342149
2450682,-1.737197677,-0.878482956,-2.702241161,-0.941218572,0,-1.540256568,-1.675714887,1.055565357,-2.237614873,-0.240706187
2450683,1.560974904,0.295875711,1.735850577,0.194946451,-0.100944561,0.214433072,0.692044284,3.997201572,2.463304758,1.268744243
2450686,-2.2928401,0.224281508,0.948173981,-0.66135819,-0.814194669,-1.661443767,1.369884436,-1.17503743,-1.637889208,-1.196316606
2450687,0.736774934,0.154881785,-1.428368992,-0.850551908,-1.841672679,-1.162705827,-1.377052881,1.732002059,1.470614739,-1.1157909
2450688,0.933807019,2.485182406,-0.689713216,2.065632493,-0.282927744,-0.629093293,0.362369735,1.194368161,-0.731264685,-0.181349007
2450689,-0.149489273,0.22166491,0.505092724,-1.884998888,-1.684250339,-0.650241853,0.168871416,0.354368641,-0.826939148,0.349040494
2450690,0.217119083,0.735384645,-0.394737355,-0.381708991,1.135257784,-1.626896388,0.338600775,-0.692044284,-0.934551305,0.696866932
2450694,2.755085008,2.555117711,5.821282619,2.434014391,1.032247927,4.386743099,4.754392592,2.225060893,3.172999816,2.695944378
2450695,0.303538854,0.858964223,0.280811417,1.4545711,1.10400768,-1.480511565,0.978455512,2.017010695,-0.588942699,-0.493762263
2450696,-0.700863015,0.353901848,-0.470220302,0,-0.644974385,1.062135923,0.315789736,0,0.043985046,-0.080775449
2450697,-1.204737083,-1.353754819,0.769174187,-0.724640852,0.278001496,0.418375642,-0.842775597,-0.159872136,-2.230575751,0
2450700,-1.533972638,-0.356958177,-0.568901661,0.362345494,1.082964883,-1.260414972,-0.338762539,0,-0.186908955,0.255565409
2450701,1.143437763,0.50961426,-0.951783835,-1.004156004,-0.908900436,-0.644725681,0.493059258,0.993472223,-0.328285007,0.416303562
2450702,-1.44845619,-0.294135161,-0.698565102,-1.473431695,-0.087629624,-1.924788758,-2.285663669,-1.158822554,-2.291225937,-2.030664065
2450703,-0.218249058,-0.071882116,-2.098383478,-1.783754107,-1.302564302,-2.411451885,1.666044089,-0.159872136,1.919444726,1.02299194
2450704,3.278982282,0.515557763,0.689092144,-0.942113031,0,1.643291683,1.612938193,1.1628038,0.375234962,2.553778379
2450707,-0.306922137,0.227640427,3.881346411,-8.770558042,5.688600513,0.872453623,-1.453438511,0,1.024583913,-3.685509239
2450708,1.588848168,2.131875098,3.783822859,-5.129329439,0.330578813,2.235778767,-1.298719553,1.808462339,4.290048754,1.616992905
2450709,-0.094996841,-1.374234919,-1.09586025,-1.093678215,-1.973748284,-0.32119037,-0.812479899,1.954459607,-0.090867794,-2.902838738
2450710,-0.094073384,1.070869199,0.901583868,2.192877976,4.871409251,-0.424196784,-0.815043292,-2.289381987,0,-1.836199883
2450711,0,-0.500171555,1.335926058,2.978690137,3.885434568,0.644070023,0.972029195,0.183462245,1.141339711,0
2450714,0.386488848,-0.784942316,-2.070837502,3.072110178,0.985949196,0.351553053,0.417428209,1.476902088,-1.911197184,-1.083644947
2450715,-0.29473379,-0.6434585,-1.196349546,0.306922137,-1.98026273,-0.150514285,-3.003548038,0.80321717,-0.791188077,-1.408473988
2450716,-2.053846593,0.503030671,-0.091449481,-0.194521053,-0.310578546,1.462062927,-1.675714887,2.256505999,-2.237614873,-1.256082743
2450717,-1.876878689,0.212658875,-1.494289531,1.305733067,-0.074682602,1.017402934,-2.065335701,0.784119358,-0.276988296,-0.632276859
