county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
39045,39,0.5011765,0.5158151,0.5729167,0.057101607,0.016388297,0.04071331,0.037041273,-0.30034047,0.33738175,-0.06795066,-0.33161786,0.2636672,-0.1934384,-0.39999962,-0.0040019155,0.004608295,0.12290328,11.840393,5.5,0.52738476,26.514853
39047,39,0.44444445,0.7567568,0.65413535,-0.102621436,-0.070806384,-0.031815052,0.03509132,-0.011976191,0.04706751,0.18081893,0.08626034,0.09455858,0.53280455,-0.7999997,0.025765061,-0.01174743,0.09962634,10.264478,5.9,0.5554626,26.42661
39049,39,0.48087776,0.5002978,0.48800385,-0.012293935,0.027228892,-0.039522827,0.19121051,-0.26881358,0.4600241,0.21609074,-0.32180956,0.5379003,0.24039555,-0.4000001,-0.0092538,0.015651619,0.1450946,13.915806,5.4,0.5439219,38.841873
39051,39,0.47058824,0.5221239,0.5504587,0.028334856,0.15049517,-0.122160316,0.016807118,-0.043296807,0.060103923,-0.036039937,-0.29657102,0.2605311,-0.09716375,-0.099999905,0.013191342,-0.014519056,0.084907256,10.666557,6.3,0.5396881,33.436764
39053,39,0.37894738,0.71755725,0.50877196,-0.2087853,-0.11593121,-0.09285408,-0.48285177,-0.2392297,-0.24362208,-0.13899888,-0.063012965,-0.07598591,0.41443378,-1.2000003,0.024492651,-0.04354588,0.15370607,10.3415165,7.4,0.4553286,29.445118
39055,39,0.52597404,0.495702,0.45891783,-0.036784172,-0.11252442,0.07574025,0.2804304,-0.34110725,0.6215376,0.35753417,-0.0836308,0.44116497,0.42793795,0.20000005,0.010749221,0.030405406,0.12863405,11.446936,4.3,0.538146,33.429787
39057,39,0.5090909,0.49280575,0.5885287,0.09572294,0.104209155,-0.008486211,0.5438509,-0.13248919,0.67634004,0.3663403,-0.3243162,0.69065654,0.15718558,-0.099999905,-0.011888176,0.055745553,0.13523409,11.95904,5.7,0.49528557,30.214525
39059,39,0.5463917,0.3655914,0.44366196,0.07807055,0.21395403,-0.13588348,0.6167742,0.4054651,0.21130909,0.42322758,-0.055262677,0.47849023,0.2919104,-0.19999981,0.009884745,-0.037383176,0.1311103,10.61526,7.4,0.49165684,26.774343
39061,39,0.4939859,0.51432294,0.5434526,0.029129684,-0.031623006,0.06075269,0.15378895,-0.33108592,0.48487487,0.098697744,-0.26762983,0.36632758,0.036846273,-0.4000001,0.017728627,-0.025307998,0.15651973,13.605224,5.6,0.5182341,41.058323
39063,39,0.45217392,0.4296029,0.5907336,0.1611307,0.13484153,0.026289165,0.25131443,0.065063596,0.18625084,-0.06718945,-0.20791711,0.14072765,-0.39915594,-0.19999981,0.014230609,0.0077305357,0.15688936,11.206197,5.1,0.54685056,34.891464
39065,39,0.3305785,0.5642857,0.6535433,0.0892576,-0.064285696,0.1535433,0.049392756,-0.34409615,0.3934889,-0.09745534,-0.22314355,0.12568821,-0.32668424,-0.4000001,0.008664876,-0.06007752,0.047741417,10.37296,6.0,0.50798863,25.963148
39067,39,0.5,0.57377046,0.67948717,0.105716705,0.054800987,0.050915718,0.41494384,-0.4643056,0.87924945,0.24583496,-0.5555258,0.8013608,-0.039220713,-0.9000001,-0.00088202953,-0.04037267,0.12240501,9.674515,6.7,0.47343937,27.866262
