year,county,nonbank_loans,bank_loans
2016,2110,68.0,68.0
2006,2122,89.0,107.0
2007,2122,102.0,102.0
2008,2122,104.0,107.0
2009,2122,89.0,96.0
2010,2122,100.0,75.0
2011,2122,89.0,119.0
2012,2122,101.0,120.0
2013,2122,91.0,119.0
2014,2122,108.0,130.0
2015,2122,119.0,125.0
2016,2122,109.0,99.0
2006,2130,24.0,60.0
2007,2130,24.0,62.0
2008,2130,31.0,60.0
2009,2130,32.0,50.0
2010,2130,45.0,48.0
2011,2130,39.0,59.0
2012,2130,33.0,71.0
2013,2130,46.0,56.0
2014,2130,43.0,61.0
2015,2130,39.0,59.0
2016,2130,35.0,61.0
2006,2150,17.0,17.0
2007,2150,24.0,23.0
2008,2150,18.0,34.0
2009,2150,28.0,26.0
2010,2150,17.0,25.0
2011,2150,21.0,39.0
2012,2150,25.0,29.0
2013,2150,20.0,30.0
2014,2150,29.0,42.0
2015,2150,34.0,34.0
2016,2150,17.0,31.0
2006,2164,1.0,1.0
2007,2164,2.0,0.0
2008,2164,2.0,3.0
2009,2164,3.0,0.0
2010,2164,2.0,2.0
2011,2164,3.0,1.0
2012,2164,2.0,1.0
2013,2164,2.0,4.0
2014,2164,0.0,5.0
2015,2164,3.0,1.0
2016,2164,4.0,1.0
2006,2170,109.0,116.0
2007,2170,117.0,124.0
2008,2170,151.0,135.0
2009,2170,113.0,111.0
2010,2170,69.0,88.0
2011,2170,101.0,142.0
2012,2170,90.0,204.0
2013,2170,127.0,211.0
2014,2170,123.0,282.0
2015,2170,124.0,229.0
2016,2170,145.0,236.0
2006,2180,5.0,9.0
2007,2180,7.0,6.0
2008,2180,14.0,7.0
2009,2180,10.0,3.0
2010,2180,11.0,6.0
2011,2180,3.0,7.0
2012,2180,5.0,10.0
2013,2180,5.0,5.0
2014,2180,11.0,9.0
2015,2180,8.0,6.0
2016,2180,8.0,4.0
2006,2185,2.0,5.0
2007,2185,4.0,5.0
2008,2185,4.0,6.0
2009,2185,2.0,5.0
2010,2185,6.0,8.0
2011,2185,2.0,1.0
2012,2185,3.0,3.0
